verkoop_productnaam,product_naam,product_groep_naam,koper_naam,eindklant_naam,is_ingepakt,handel_type,status,STICKER_AFGEDRUKT,AFLEVERDATUM,BRIEFNR,AANTAL_STUKS,bedrag,BESTELNR,BESTELDATUM,KOPER,PRODUKT,OPMERKINGNR,SORT1,SORT2,SORT3,SORT4,AANTAL_STUKS0,AANTAL_FUST,FUSTCD,STUKS_PER_FUST,PRIJS,DC,PL,STW,AFLEVERDATUM0,AFLEVERTIJD,AFLEVERLOKATIE,OPMERKING,ETIKET,HOES,STICKER,BESTELD_DOOR,INGEVOERD_DOOR,BESTELNR_BB,BESTELNR_KLANT,MUNT,ORDERNR,BRIEFNR0,REGELNR,VEILING,VERVOERDER,REGCD,BESTELNR_KOP,LL,EENH_REST,KARNR,LOCATIENR,TUIN,KARTYPE,INVOERDER,BESTELVOLGNR,BEELDV_REF,OS,BESTELTIJD,SORT5,SORT6,SORT7,SORT8,SORT9,SORT10,SK1,SK2,SK3,SK4,SK5,SK6,SK7,SK8,SK9,SK10,ARTIKEL_CD,AFLEVERLOCATIE_EAN,FE_ID,FE_VOLGNR,KEUR1,KEUR2,SRVCD_2,EENH_AFTEL,TEELTID,OPMERKING_2,STANDREG_VOLGNR,POS1,POS2,POS3,MIX_CD,VEILGROEP,STICKER_AFGEDRUKT0,BESTELLIJST_AFGEDRUKT,BESTELBON_AFGEDRUKT,EKT_VERSTUURD,KWALITEIT,DEPOT,OPM_VEILMEESTER,PRIJS_MIN,DATUM_EKT,KWEKER_ADMNR,AANTAL_RESTPLAAT,AFROEPPARTIJ,AANBODREFERENTIE,BARCODE,INKOOPPRIJS,PLAATNUMMER,KLEURCODE,TRANSPORTTIJD,RETAILORDER,VERVALLEN,VERVALLEN_DOOR,HANDMATIG_AFGEHANDELD,HANDELSREGELING_TOEGEPAST,EINDKLANTCODE,LANDCODE,SORTERINGSGROEPSVOLGNUMMER,STICKER_AUTOMATISCH_BIJWERKEN
Lily Looks - Gemengd,Tiny mix 13,13 aziaat,Greenyard Flower Trade,REWE,False,geen_daghandel,op afroep,0,2025-02-12,,576,956.1599731445312,260358,2024-12-18,61242,102402,3,13,38,3,23,576,48,999,12,1.659999966621399,0.0,0.0,0.0,2025-02-12,14:00:00,BOX NLD,,,,,,,,,,0,,,N,Eigen vervoer,121,,0.0,nan,nan,0,0,1,L,0,,0.0,10:41:52.036000,7,0,0,0,0,0,,,,,,,,,,,121-RBW,8714231208747,nan,nan,0,0,,nan,0,,808,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,7,DE,nan,0
Lily Looks - Gemengd,Tiny mix 13,13 aziaat,Greenyard Flower Trade,REWE,False,geen_daghandel,op afroep,0,2025-02-19,,1344,2231.0400390625,260359,2024-12-18,61242,102402,3,13,38,3,23,1344,112,999,12,1.659999966621399,0.0,0.0,0.0,2025-02-19,14:00:00,BOX NLD,,,,,,,,,,0,,,N,Eigen vervoer,121,,0.0,nan,nan,0,0,1,L,0,,0.0,10:42:17.305000,7,0,0,0,0,0,,,,,,,,,,,121-RBW,8714231208747,nan,nan,0,0,,nan,0,,808,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,7,DE,nan,0
Lily Looks - Gemengd,Tiny mix 13,13 aziaat,Greenyard Flower Trade,REWE,False,geen_daghandel,op afroep,0,2025-02-26,,1344,2231.0400390625,260360,2024-12-18,61242,102402,3,13,38,3,23,1344,112,999,12,1.659999966621399,0.0,0.0,0.0,2025-02-26,14:00:00,BOX NLD,,,,,,,,,,0,,,N,Eigen vervoer,121,,0.0,nan,nan,0,0,1,L,0,,0.0,10:42:18.962000,7,0,0,0,0,0,,,,,,,,,,,121-RBW,8714231208747,nan,nan,0,0,,nan,0,,808,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,7,DE,nan,0
Lily Looks - Gemengd,Tiny mix 13,13 aziaat,Greenyard Flower Trade,REWE,False,geen_daghandel,op afroep,0,2025-03-12,,576,956.1599731445312,260361,2024-12-18,61242,102402,3,13,38,3,23,576,48,999,12,1.659999966621399,0.0,0.0,0.0,2025-03-12,14:00:00,BOX NLD,,,,,,,,,,0,,,N,Eigen vervoer,121,,0.0,nan,nan,0,0,1,L,0,,0.0,10:42:20.392000,7,0,0,0,0,0,,,,,,,,,,,121-RBW,8714231208747,nan,nan,0,0,,nan,0,,808,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,7,DE,nan,0
Lily Looks - Gemengd,Tiny mix 13,13 aziaat,Greenyard Flower Trade,REWE,False,geen_daghandel,op afroep,0,2025-03-19,,2496,4143.35986328125,260362,2024-12-18,61242,102402,3,13,38,3,23,2496,208,999,12,1.659999966621399,0.0,0.0,0.0,2025-03-19,14:00:00,BOX NLD,,,,,,,,,,0,,,N,Eigen vervoer,121,,0.0,nan,nan,0,0,1,L,0,,0.0,10:42:21.877000,7,0,0,0,0,0,,,,,,,,,,,121-RBW,8714231208747,nan,nan,0,0,,nan,0,,808,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,7,DE,nan,0
Lily Looks - Gemengd,Tiny mix 13,13 aziaat,Greenyard Flower Trade,REWE,False,geen_daghandel,op afroep,0,2025-03-26,,1344,2231.0400390625,260363,2024-12-18,61242,102402,3,13,38,3,23,1344,112,999,12,1.659999966621399,0.0,0.0,0.0,2025-03-26,14:00:00,BOX NLD,,,,,,,,,,0,,,N,Eigen vervoer,121,,0.0,nan,nan,0,0,1,L,0,,0.0,10:42:23.345000,7,0,0,0,0,0,,,,,,,,,,,121-RBW,8714231208747,nan,nan,0,0,,nan,0,,808,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,7,DE,nan,0
Lily Looks - Gemengd,Tiny mix 13,13 aziaat,Greenyard Flower Trade,REWE,False,geen_daghandel,op afroep,0,2025-04-02,,2304,3824.639892578125,260364,2024-12-18,61242,102402,3,13,38,3,23,2304,192,999,12,1.659999966621399,0.0,0.0,0.0,2025-04-02,14:00:00,BOX NLD,,,,,,,,,,0,,,N,Eigen vervoer,121,,0.0,nan,nan,0,0,1,L,0,,0.0,10:42:24.713000,7,0,0,0,0,0,,,,,,,,,,,121-RBW,8714231208747,nan,nan,0,0,,nan,0,,808,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,7,DE,nan,0
Lily Looks - Gemengd,Tiny mix 13,13 aziaat,Greenyard Flower Trade,REWE,False,geen_daghandel,op afroep,0,2025-04-09,,1920,3187.199951171875,260365,2024-12-18,61242,102402,3,13,38,3,23,1920,160,999,12,1.659999966621399,0.0,0.0,0.0,2025-04-09,14:00:00,BOX NLD,,,,,,,,,,0,,,N,Eigen vervoer,121,,0.0,nan,nan,0,0,1,L,0,,0.0,10:42:25.879000,7,0,0,0,0,0,,,,,,,,,,,121-RBW,8714231208747,nan,nan,0,0,,nan,0,,808,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,7,DE,nan,0
Lily Looks - Gemengd,Tiny mix 13,13 aziaat,Greenyard Flower Trade,REWE,False,geen_daghandel,op afroep,0,2025-04-16,,1920,3187.199951171875,260366,2024-12-18,61242,102402,3,13,38,3,23,1920,160,999,12,1.659999966621399,0.0,0.0,0.0,2025-04-16,14:00:00,BOX NLD,,,,,,,,,,0,,,N,Eigen vervoer,121,,0.0,nan,nan,0,0,1,L,0,,0.0,10:42:26.926000,7,0,0,0,0,0,,,,,,,,,,,121-RBW,8714231208747,nan,nan,0,0,,nan,0,,808,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,7,DE,nan,0
Lily Looks - Gemengd,Tiny mix 13,13 aziaat,Greenyard Flower Trade,REWE,False,geen_daghandel,op afroep,0,2025-04-23,,960,1593.5999755859375,260367,2024-12-18,61242,102402,3,13,38,3,23,960,80,999,12,1.659999966621399,0.0,0.0,0.0,2025-04-23,14:00:00,BOX NLD,,,,,,,,,,0,,,N,Eigen vervoer,121,,0.0,nan,nan,0,0,1,L,0,,0.0,10:42:27.870000,7,0,0,0,0,0,,,,,,,,,,,121-RBW,8714231208747,nan,nan,0,0,,nan,0,,808,0,0,0,0,,0,0,0,0,,,,0,,nan,nan,1,,,,nan,,18:00:00,0,0,,0,0,7,DE,nan,0
